t,s,i,i5,i15,x,zuse,va,zsales,y,e,ez,ey
2017,1,1,1,1,76590.5510932756,39230.16728088634,37360.383812389184,55280.401502437024,21310.149590838537,63476.85349515768,44961.05260920274,18515.800885954937
2017,1,2,1,2,219904.60755774775,103343.71394209281,116560.8936156553,210815.25299422946,9089.354563518462,52708.145739146064,44595.76120611643,8112.384533029631
2017,1,3,2,3,68876.13087845751,47391.06872823949,21485.06215021802,26554.42635157578,42321.70452688179,51708.03730989779,21684.30487629733,30023.73243360046
2017,1,4,2,3,3577.5085493187134,1693.8927716783746,1883.6157776403315,2038.0066914774598,1539.501857841255,2166.2505031419696,1073.98056650974,1092.26993663223
2017,1,5,2,3,830.4064739060899,524.2615349226606,306.1449389834284,455.29500816490236,375.1114657411872,425.7587197195917,149.79473737225828,275.9639823473334
2017,1,6,2,3,9075.463894611707,6187.610024373577,2887.853870238128,8764.895520184524,310.5683744271749,7577.28375924467,7295.498620062283,281.7851391823874
2017,1,7,2,3,26238.546220911878,16459.46419598499,9779.082024926916,20606.407997566206,5632.138223345693,23733.802727571696,18778.117004072905,4955.68572349879
2017,1,8,3,4,16246.642284189855,11695.130312115445,4551.5119720743805,11614.890751084657,4631.751533105187,14582.218501732204,10147.01520553264,4435.203296199565
2017,1,9,3,4,14246.366560075403,7970.494702627429,6275.871857447974,7039.269855024765,7207.096705050645,11278.256855155452,4943.707599152414,6334.549256003038
2017,1,10,2,3,9161.742633748434,5475.700895433975,3686.041738314471,7167.127915322372,1994.6147184260492,8199.563802220891,6332.16683235149,1867.396969869402
2017,1,11,3,3,16179.50187501211,10613.718655843113,5565.783219168989,15553.92805441829,625.5738205938203,15699.117767629567,15105.071157764905,594.0466098646605
2017,1,12,3,4,40008.79316933303,25744.50533445896,14264.28783487406,37104.569090845915,2904.224078487078,25727.7364537003,23037.731240475136,2690.0052132251676
2017,1,13,3,4,11127.920000885817,6716.15917087154,4411.760830014257,5501.147657489524,5626.7723433963,9410.130479442121,4633.7888230815815,4776.34165636054
2017,1,14,3,4,11344.494781545618,5809.908621246748,5534.5861602988725,6330.555219990878,5013.939561554735,9232.299583687123,5240.039927098862,3992.2596565882623
2017,1,15,3,4,26332.877622301683,19201.12206720299,7131.755555098719,9717.09891862962,16615.77870367207,22331.545491373723,8384.308588672793,13947.23690270093
2017,1,16,2,3,4800.950084024898,2842.6875838857604,1958.2625001391343,2401.478900864915,2399.4711831599875,3748.2186230936522,2104.6622173313126,1643.5564057623396
2017,1,17,2,5,78040.23651925879,47976.272690992795,30063.963828266067,51536.366403526205,26503.870115732443,77668.60880950894,51192.82127928357,26475.787530225367
2017,1,18,2,6,368953.5673620277,261097.81386728477,107855.75349474381,178055.46352251177,190898.10383951577,367887.63205469784,177323.8986078226,190563.7334468752
2017,1,19,4,7,15130.53538626434,8350.248729563917,6780.286656700425,6313.416756078351,8817.118630185993,15074.885311842423,6286.185268445587,8788.700043396835
2017,1,20,4,7,109636.97783408444,54139.1796095753,55497.798224509286,60562.20440091685,49074.77343316765,94367.3874680367,49075.01872602382,45292.368742012884
2017,1,21,4,7,99940.10957756909,39268.385268087055,60671.724309482015,29470.847332403933,70469.26224516508,96415.68065450033,26964.125414265247,69451.55524023509
2017,1,22,4,8,66074.37106422413,31709.512017443936,34364.859046780184,17742.442026715224,48331.92903750897,58547.2899917284,13284.931347280115,45262.358644448286
2017,1,23,4,9,55650.29032215408,29381.661679067973,26268.62864308609,37286.39052215409,18363.899799999977,42515.084997869475,26400.40368895208,16114.681308917392
2017,1,24,4,9,6632.775137359986,3341.5313149056947,3291.243822454306,5299.1722101984815,1333.6029271615066,5588.238226390248,4327.850975239332,1260.3872511509164
2017,1,25,4,9,15515.336952272333,9742.75550053746,5772.581451734902,6929.195438357167,8586.141513915161,15230.27259185357,6742.260686056676,8488.011905796895
2017,1,26,4,9,54447.43937172777,26506.700482156164,27940.73888957156,34704.71868144437,19742.720690283382,50846.541776060934,31730.707985331894,19115.83379072904
2017,1,27,4,10,59153.35117321304,34551.84580814132,24601.505365071705,46151.85300932886,13001.49816388418,58020.67500540641,45452.09131563313,12568.583689773282
2017,1,28,4,11,234815.4581589532,106711.03875332187,128104.41940563175,150865.84652815125,83949.61163080204,229840.95656909858,147122.3314655618,82718.62510353679
2017,1,29,4,12,244558.53977544844,84569.74671852296,159988.79305692555,66007.51537483333,178551.02440061473,242755.9110384803,64752.846450232944,178003.06458824733
2017,1,30,4,12,292529.4354164856,146305.97627132238,146223.4591451636,250756.28935644834,41773.14606003746,282201.13600686303,243011.17844738462,39189.9575594784
2017,1,31,5,13,109299.20676595159,38139.962226003685,71159.244539948,18684.798902766688,90614.40786318493,109010.7623773459,18519.409478650494,90491.3528986954
2017,1,32,5,14,95495.88448670584,28235.74741238502,67260.13707432077,9414.008921430022,86081.8755652757,87317.15977575001,3988.032594293002,83329.127181457
2017,1,33,5,14,136819.05908058834,38942.60708123778,97876.45199935077,4658.184265818558,132160.8748147697,136335.39662383823,4525.412756969326,131809.9838668689
2017,1,34,5,15,63153.69520065697,35999.862239249036,27153.8329614079,29049.087370583045,34104.607830073925,61748.125829552904,28387.687955802838,33360.43787375007
2017,1,35,5,15,9827.304859345204,978.3418075978552,8848.963051747349,813.8769062589333,9013.427953086273,9758.431235755168,771.291383047489,8987.13985270768
2017,2,1,1,1,12200.107313913739,7128.954401685861,5071.152912227857,10285.32587968359,1914.7814342301258,10548.150857301422,9230.60019459935,1317.550662702072
2017,2,2,1,2,2290.1823177521414,895.8841238944253,1394.298193857717,2069.876836484465,220.30548126767297,1374.4341718669684,1209.0584253566935,165.37574651027478
2017,2,3,2,3,25325.527158917343,18194.403010379727,7131.124148537621,9824.886576115698,15500.640582801645,13021.715755265946,8109.246077191706,4912.469678074241
2017,2,4,2,3,2845.167019382197,2008.3345604206197,836.8324589615792,1633.9619227127328,1211.2050966694637,256.66280263153794,114.1565497936792,142.50625283785877
2017,2,5,2,3,847.1475152602982,704.003109128968,143.14440613133132,368.2856741985973,478.8618410617007,79.51988170328744,41.33798994835627,38.18189175493118
2017,2,6,2,3,9757.202005712526,6834.107173705376,2923.09483200714,7901.65768842259,1855.5443172899336,4992.006000532379,3239.158504487167,1752.8474960452118
2017,2,7,2,3,12681.665582196325,7964.840374347337,4716.825207848983,10730.662534067136,1951.0030481292,6377.743621834861,4916.70350856648,1461.0401132683805
2017,2,8,3,4,9837.526109573239,9692.449903761155,145.0762058121114,5641.230352879415,4196.295756693831,7064.769252451787,3438.778383747258,3625.990868704529
2017,2,9,3,4,18635.747177620688,12732.044531724288,5903.702645896447,14086.434265165391,4549.3129124552925,2616.1808955673882,1832.2803252136353,783.900570353753
2017,2,10,2,3,7065.8223790720285,4346.647627057926,2719.1747520141143,5840.098618922866,1225.723760149163,1485.4003437879464,1176.2310694486848,309.16927433926156
2017,2,11,3,3,7442.589580841328,4466.956747163615,2975.6328336777187,6626.716039602783,815.8735412385449,4248.173976113877,3670.4534578808043,577.720518233073
2017,2,12,3,4,35654.64371646137,24912.414664390028,10742.22905207136,31445.544448835946,4209.099267625443,15327.095853232826,13262.450551403545,2064.645301829281
2017,2,13,3,4,31768.47953849927,20044.713619130074,11723.765919369202,14319.017628382082,17449.46191011722,7883.573305158017,5087.888333829011,2795.684971329006
2017,2,14,3,4,21608.170044204373,11026.488605689505,10581.681438514868,11503.616931814042,10104.553112390333,5073.639731757825,2121.039849754811,2952.5998820030136
2017,2,15,3,4,21755.511838362167,15813.176258299936,5942.3355800621985,11310.06477460692,10445.447063755237,3043.153923295584,967.6184162268944,2075.5355070686896
2017,2,16,2,3,7535.901327989743,4405.634980353858,3130.266347635868,2573.5579233859944,4962.343404603751,2471.0479442355822,814.8492227371631,1656.1987214984192
2017,2,17,2,5,43540.07732340912,35615.353210706,7924.724112703097,36179.08444503296,7360.992878376204,36162.908743149404,29798.041562677987,6364.86718047142
2017,2,18,2,6,59661.90022639532,35301.52125939754,24360.378966997756,20938.393548825567,38723.506677569785,58480.10153372812,20067.627774193257,38412.47375953486
